size thumbnail,xsd:string,what is the size thumbnail of <X>,what is the size thumbnail of <X>,,
ski lift,xsd:nonNegativeInteger,what is the ski lift of <X>,what is the ski lift of <X>,,
ski piste kilometre,Length,what is the ski piste kilometre of <X>,what is the ski piste kilometre of <X>,,
ski piste number,xsd:nonNegativeInteger,what is the ski piste number of <X>,what is the ski piste number of <X>,,
ski tow,xsd:nonNegativeInteger,what is the ski tow of <X>,what is the ski tow of <X>,,
skills,owl:Thing,what is the skills of <X>,what is the skills of <X>,,
broader,owl:Thing,what is the broader of <X>,what is the broader of <X>,,
prefLabel,rdf:langString,what is the prefLabel of <X>,what is the prefLabel of <X>,,
related,owl:Thing,what is the related of <X>,what is the related of <X>,,
slogan,rdf:langString,what is the slogan of <X>,what is the slogan of <X>,,
snow park number,xsd:nonNegativeInteger,what is the snow park number of <X>,what is the snow park number of <X>,,
sound recording,Sound,what is the sound recording of <X>,what is the sound recording of <X>,,
source,owl:Thing,what is the source of <X>,what is the source of <X>,,
source confluence elevation,Length,what is the source confluence elevation of <X>,what is the source confluence elevation of <X>,,
source district,PopulatedPlace,what is the source district of <X>,what is the source district of <X>,,
source elevation,Length,what is the source elevation of <X>,what is the source elevation of <X>,,
source mountain,Mountain,what is the source mountain of <X>,what is the source mountain of <X>,,
source place,PopulatedPlace,what is the source place of <X>,what is the source place of <X>,,
source position,geo:SpatialThing,what is the source position of <X>,what is the source position of <X>,,
source region,PopulatedPlace,what is the source region of <X>,what is the source region of <X>,,
source state,PopulatedPlace,what is the source state of <X>,what is the source state of <X>,,
sourceText,rdf:langString,what is the sourceText of <X>,what is the sourceText of <X>,,
south-east place,Place,what is the south-east place of <X>,what is the south-east place of <X>,,
south place,Place,what is the south place of <X>,what is the south place of <X>,,
south-west place,Place,what is the south-west place of <X>,what is the south-west place of <X>,,
sovereign country,PopulatedPlace,what is the sovereign country of <X>,what is the sovereign country of <X>,,
speaker,xsd:integer,what is the speaker of <X>,what is the speaker of <X>,,
specialist,PersonFunction,what is the specialist of <X>,what is the specialist of <X>,,
specialization,owl:Thing,what is the specialization of <X>,what is the specialization of <X>,,
sport,Sport,what is the sport of <X>,what is the sport of <X>,,
sport governing body,owl:Thing,what is the sport governing body of <X>,what is the sport governing body of <X>,,
Stadium,Stadium,what is the Stadium of <X>,what is the Stadium of <X>,,
start occupation,xsd:string,what is the start occupation of <X>,what is the start occupation of <X>,,
start point,Place,what is the start point of <X>,what is the start point of <X>,,
start year,xsd:gYear,what is the start year of <X>,what is the start year of <X>,,
stat name,xsd:string,what is the stat name of <X>,what is the stat name of <X>,,
stat value,xsd:double,what is the stat value of <X>,what is the stat value of <X>,,
state,PopulatedPlace,what is the state of <X>,what is the state of <X>,,
state delegate,Person,what is the state delegate of <X>,what is the state delegate of <X>,,
status,xsd:string,what is the status of <X>,what is the status of <X>,,
status year,xsd:string,what is the status year of <X>,what is the status year of <X>,,
subprefecture,xsd:string,what is the subprefecture of <X>,what is the subprefecture of <X>,,
subdivision,owl:Thing,what is the subdivision of <X>,what is the subdivision of <X>,,
subdivision link,xsd:string,what is the subdivision link of <X>,what is the subdivision link of <X>,,
subdivisions,xsd:nonNegativeInteger,what is the subdivisions of <X>,what is the subdivisions of <X>,,
sublimation point,Temperature,what is the sublimation point of <X>,what is the sublimation point of <X>,,
subregion,Place,what is the subregion of <X>,what is the subregion of <X>,,
subsystem,xsd:string,what is the subsystem of <X>,what is the subsystem of <X>,,
subsystem link,xsd:string,what is the subsystem link of <X>,what is the subsystem link of <X>,,
subtitle,xsd:string,what is the subtitle of <X>,what is the subtitle of <X>,,
successful launches,xsd:nonNegativeInteger,what is the successful launches of <X>,what is the successful launches of <X>,,
successor,owl:Thing,what is the successor of <X>,what is the successor of <X>,,
SUDOC id,xsd:string,what is the SUDOC id of <X>,what is the SUDOC id of <X>,,
supply,Place,what is the supply of <X>,what is the supply of <X>,,
position in which a surface occurs in a text,xsd:string,what is the position in which a surface occurs in a text of <X>,what is the position in which a surface occurs in a text of <X>,,
type of surface,xsd:string,what is the type of surface of <X>,what is the type of surface of <X>,,
synonym,xsd:string,what is the synonym of <X>,what is the synonym of <X>,,
minimum system requirements,xsd:string,what is the minimum system requirements of <X>,what is the minimum system requirements of <X>,,
tag,xsd:date,what is the tag of <X>,what is the tag of <X>,,
taoiseach,Person,what is the taoiseach of <X>,what is the taoiseach of <X>,,
team,SportsTeam,what is the team of <X>,what is the team of <X>,,
team size,xsd:nonNegativeInteger,what is the team size of <X>,what is the team size of <X>,,
television series,TelevisionShow,what is the television series of <X>,what is the television series of <X>,,
temperature,Temperature,what is the temperature of <X>,what is the temperature of <X>,,
type of tennis surface,xsd:string,what is the type of tennis surface of <X>,what is the type of tennis surface of <X>,,
term period,TimePeriod,what is the term period of <X>,what is the term period of <X>,,
third place,xsd:string,what is the third place of <X>,what is the third place of <X>,,
thumbnail,Image,what is the thumbnail of <X>,what is the thumbnail of <X>,,
thumbnail caption,xsd:string,what is the thumbnail caption of <X>,what is the thumbnail caption of <X>,,
time,xsd:string,what is the time of <X>,what is the time of <X>,,
total time person has spent in space,Time,what is the total time person has spent in space of <X>,what is the total time person has spent in space of <X>,,
time zone,owl:Thing,what is the time zone of <X>,what is the time zone of <X>,,
title,rdf:langString,what is the title of <X>,what is the title of <X>,,
top speed,Speed,what is the top speed of <X>,what is the top speed of <X>,,
total launches,xsd:nonNegativeInteger,what is the total launches of <X>,what is the total launches of <X>,,
TradeMark,owl:Thing,what is the TradeMark of <X>,what is the TradeMark of <X>,,
translated motto,xsd:string,what is the translated motto of <X>,what is the translated motto of <X>,,
tree,Species,what is the tree of <X>,what is the tree of <X>,,
type,owl:Thing,what is the type of <X>,what is the type of <X>,,
type coordinate,xsd:string,what is the type coordinate of <X>,what is the type coordinate of <X>,,
ULAN id,xsd:string,what is the ULAN id of <X>,what is the ULAN id of <X>,,
unesco,PopulatedPlace,what is the unesco of <X>,what is the unesco of <X>,,
university,EducationalInstitution,what is the university of <X>,what is the university of <X>,,
UN/LOCODE,xsd:string,what is the UN/LOCODE of <X>,what is the UN/LOCODE of <X>,,
updated,xsd:date,what is the updated of <X>,what is the updated of <X>,,
uses,owl:Thing,what is the uses of <X>,what is the uses of <X>,,
approved rating of the Entertainment Software Self-Regulation Body in Germany,xsd:integer,what is the approved rating of the Entertainment Software Self-Regulation Body in Germany of <X>,what is the approved rating of the Entertainment Software Self-Regulation Body in Germany of <X>,,
UTC offset,xsd:string,what is the UTC offset of <X>,what is the UTC offset of <X>,,
value,xsd:nonNegativeInteger,what is the value of <X>,what is the value of <X>,,
variant or variation,owl:Thing,what is the variant or variation of <X>,what is the variant or variation of <X>,,
vehicle,Automobile,what is the vehicle of <X>,what is the vehicle of <X>,,
vehicle code,xsd:string,what is the vehicle code of <X>,what is the vehicle code of <X>,,
VIAF Id,xsd:string,what is the VIAF Id of <X>,what is the VIAF Id of <X>,,
vice chancellor,Person,what is the vice chancellor of <X>,what is the vice chancellor of <X>,,
vice president,Person,what is the vice president of <X>,what is the vice president of <X>,,
vice prime minister,Person,what is the vice prime minister of <X>,what is the vice prime minister of <X>,,
victim (resource),owl:Thing,what is the victim (resource) of <X>,what is the victim (resource) of <X>,,
victims (string),xsd:string,what is the victims (string) of <X>,what is the victims (string) of <X>,,
voice,Person,what is the voice of <X>,what is the voice of <X>,,
volume,Volume,what is the volume of <X>,what is the volume of <X>,,
volume quote,xsd:string,what is the volume quote of <X>,what is the volume quote of <X>,,
water,xsd:string,what is the water of <X>,what is the water of <X>,,
area of water,Area,what is the area of water of <X>,what is the area of water of <X>,,
water percentage of a place,xsd:float,what is the water percentage of a place of <X>,what is the water percentage of a place of <X>,,
webcast,owl:Thing,what is the webcast of <X>,what is the webcast of <X>,,
label of a website,rdf:langString,what is the label of a website of <X>,what is the label of a website of <X>,,
weight,Mass,what is the weight of <X>,what is the weight of <X>,,
west place,Place,what is the west place of <X>,what is the west place of <X>,,
whole area,Area,what is the whole area of <X>,what is the whole area of <X>,,
width,Length,what is the width of <X>,what is the width of <X>,,
width quote,xsd:string,what is the width quote of <X>,what is the width quote of <X>,,
Character size of wiki page,xsd:nonNegativeInteger,what is the Character size of wiki page of <X>,what is the Character size of wiki page of <X>,,
Wikipage disambiguates,owl:Thing,what is the Wikipage disambiguates of <X>,what is the Wikipage disambiguates of <X>,,
Link to the Wikipage edit URL,owl:Thing,what is the Link to the Wikipage edit URL of <X>,what is the Link to the Wikipage edit URL of <X>,,
Link from a Wikipage to an external page,owl:Thing,what is the Link from a Wikipage to an external page of <X>,what is the Link from a Wikipage to an external page of <X>,,
extraction datetime,xsd:dateTime,what is the extraction datetime of <X>,what is the extraction datetime of <X>,,
Link to the Wikipage history URL,owl:Thing,what is the Link to the Wikipage history URL of <X>,what is the Link to the Wikipage history URL of <X>,,
Wikipage page ID,xsd:integer,what is the Wikipage page ID of <X>,what is the Wikipage page ID of <X>,,
Wiki page in degree,xsd:nonNegativeInteger,what is the Wiki page in degree of <X>,what is the Wiki page in degree of <X>,,
Link from a Wikipage to a Wikipage in a different language about the same or a related subject.,owl:Thing,what is the Link from a Wikipage to a Wikipage in a different language about the same or a related subject. of <X>,what is the Link from a Wikipage to a Wikipage in a different language about the same or a related subject. of <X>,,
page length (characters) of wiki page,xsd:nonNegativeInteger,what is the page length (characters) of wiki page of <X>,what is the page length (characters) of wiki page of <X>,,
Wikipage modification datetime,xsd:dateTime,what is the Wikipage modification datetime of <X>,what is the Wikipage modification datetime of <X>,,
Wiki page out degree,xsd:nonNegativeInteger,what is the Wiki page out degree of <X>,what is the Wiki page out degree of <X>,,
Wikipage redirect,owl:Thing,what is the Wikipage redirect of <X>,what is the Wikipage redirect of <X>,,
Wikipage revision ID,xsd:integer,what is the Wikipage revision ID of <X>,what is the Wikipage revision ID of <X>,,
Link to the Wikipage revision URL,owl:Thing,what is the Link to the Wikipage revision URL of <X>,what is the Link to the Wikipage revision URL of <X>,,
wiki page uses template,WikimediaTemplate,what is the wiki page uses template of <X>,what is the wiki page uses template of <X>,,
Link from a Wikipage to another Wikipage,owl:Thing,what is the Link from a Wikipage to another Wikipage of <X>,what is the Link from a Wikipage to another Wikipage of <X>,,
Text used to link from a Wikipage to another Wikipage,owl:Thing,what is the Text used to link from a Wikipage to another Wikipage of <X>,what is the Text used to link from a Wikipage to another Wikipage of <X>,,
Wikidata IRI slit,owl:Thing,what is the Wikidata IRI slit of <X>,what is the Wikidata IRI slit of <X>,,
wins,xsd:nonNegativeInteger,what is the wins of <X>,what is the wins of <X>,,
year,xsd:gYear,what is the year of <X>,what is the year of <X>,,
year of construction,xsd:gYear,what is the year of construction of <X>,what is the year of construction of <X>,,
zodiac sign,owl:Thing,what is the zodiac sign of <X>,what is the zodiac sign of <X>,,
