dbo:Person;;;is the wife of <A> called <B>?;ask where { <A> dbo:spouse ?spouse . ?spouse rdfs:label ?name . filter(regex(?name,'<B>')) };select distinct ?a, ?b where {  ?a dbo:spouse ?spouse . ?spouse rdfs:label ?name };
dbo:Person;;;list the children of <A>.;select distinct ?uri where { <A> dbo:child ?uri . };select distinct ?a where { };
dbo:Person;dbo:Country;;was <A> born in the <B>?;ask where { <A> dbo:birthPlace ?city . ?city dbo:country <B> . };select distinct ?a, ?b where {  ?a dbo:birthPlace ?city . ?city dbo:country ?b .  };
dbo:Person;;;was <A> involved in a war?;ask where { <A> dbo:battle ?battle . };select distinct ?a where {  ?a dbo:battle ?battle .  };
dbo:Person;;;was the wife of <A> called <B>?;ask where { <A> ?spouse . ?spouse rdfs:label ?name . filter(regex(?name,'<B>')) };select distinct ?a, ?b where {  ?a ?spouse . ?spouse rdfs:label ?name };
;;;what are the nicknames of <A>?;select distinct ?string where { <A> dbp:nickname ?string . };select distinct ?a where {  ?a dbp:nickname ?string .  };
dbo:Person;;;what did <A> die from?;select distinct ?uri where { <A> dbo:deathCause ?uri . };select distinct ?a where {  ?a dbo:deathCause ?uri .  };
dbo:Person;;;when did <A> die?;select distinct ?d where { <A> dbo:deathDate ?d . };select distinct ?a where {  ?a dbo:deathDate ?d .  };
dbo:Person;;;where is <A> buried?;select distinct ?uri where { <A> dbo:restingPlace ?uri . };select distinct ?a where {  ?a dbo:restingPlace ?uri .  };
;;;where is <A> located?;select distinct ?uri where { <A> dbp:location ?uri . };select distinct ?a where {  ?a dbp:location ?uri .  };
dbo:Person;;;where was <A> born?;select distinct ?uri where { <A> dbo:birthPlace ?uri . };select distinct ?a where {  ?a dbo:birthPlace ?uri .  };
dbo:Person;;;which <A> is known for the <B> and the <C>?;select distinct ?uri where { ?uri dbo:knownFor <B> . ?uri rdf:type <A> . ?uri dbo:knownFor <C> . };select distinct ?a, ?b, ?c where {  ?uri dbo:knownFor ?b . ?uri rdf:type ?a . ?uri dbo:knownFor ?c .  };
dbo:Person;;;which country was <A> born in?;select distinct ?uri where { <A> dbo:birthPlace ?x . ?x dbo:country ?uri . };select distinct ?a where {  ?a dbo:birthPlace ?x . ?x dbo:country ?uri .  };
dbo:Person;;;who are the parents of the wife of <A>?;select distinct ?uri where { <A> dbo:spouse ?x . ?x dbo:parent ?uri . };select distinct ?a where {  ?a dbo:spouse ?x . ?x dbo:parent ?uri .  };
dbo:Person;;;who is the daughter of <A> married to?;select distinct ?uri where {<A> dbo:child ?child . ?child dbo:spouse ?uri . };select distinct ?a where { ?a dbo:child ?child . ?child dbo:spouse ?uri .  };
dbo:Person;;;who is the oldest child of <A>?;select distinct ?uri where { <A> dbo:child ?uri . ?uri dbo:birthDate ?d . } order by asc(?d) offset 0 limit 1;select distinct ?a where {  ?a dbo:child ?uri . ?uri dbo:birthDate ?d .  };
dbo:Person;dbo:Person;;who is the son of <A> and <B>?;select distinct ?uri where { ?uri dbo:parent <A> . ?uri dbo:parent <B> . };select distinct ?a, ?b where {  ?uri dbo:parent ?a . ?uri dbo:parent ?b .  };
;;;who was called <A>?;select distinct ?uri where { ?uri dbp:nickname <A> . };select distinct ?a where {  ?uri dbp:nickname ?a .  };
dbo:Person;;;who was married to <A>?;select distinct ?uri where { <A> dbo:spouse ?uri . };select distinct ?a where {  ?a dbo:spouse ?uri .  };
dbo:Person;;;who was the father of <A>?;select distinct ?uri where { <A> dbp:father ?uri . };select distinct ?a where {  ?a dbp:father ?uri .  };
dbo:Person;;;who was the wife of <A>?;select distinct ?uri where { <A> dbo:spouse ?uri. };select distinct ?a where {  ?a dbo:spouse ?uri.  };
dbo:Person;;;who were the parents of <A>?;select distinct ?uri where { <A> dbo:parent ?uri . };select distinct ?a where {  ?a dbo:parent ?uri .  };
dbo:Person;;;whom did <A> marry?;select distinct ?uri where { ?uri dbo:spouse <A> . };select distinct ?a where {  ?uri dbo:spouse ?a .  };
dbo:Species;dbo:Species;;are <A> a type of <B>?;ask where { <A> dbo:class <B> . };select distinct ?a, ?b where {  ?a dbo:class ?b .  };
;dbo:Award;;did <A> win a <B>?;ask where { <A> dbo:award <B> . };select distinct ?a, ?b where {  ?a dbo:award ?b .  };
dbo:Species;;;give me a list of all critically endangered <A>.;select distinct ?uri  where { ?uri a <A>. { ?uri dbo:conservationStatus 'CR'^^<http://www.w3.org/2001/XMLSchema#string> . } union { ?uri <http://purl.org/dc/terms/subject> <http://dbpedia.org/resource/Category:Critically_endangered_animals> . } };select distinct ?a where { ?uri a ?a. { ?uri dbo:conservationStatus 'CR'^^<http://www.w3.org/2001/XMLSchema#string> . } union { ?uri <http://purl.org/dc/terms/subject> <http://dbpedia.org/resource/Category:Critically_endangered_animals> . } };
dbo:Country;;;give me all <A> <B>.;select distinct ?uri where { ?uri dbo:field <B> . ?uri dbo:birthPlace <A>. };select distinct ?a, ?b where {  ?uri dbo:field ?b . ?uri dbo:birthPlace ?a.  };
dbo:ChemicalSubstance;dbo:ChemicalSubstance;;is <A> a <B>?;ask where { <A> rdf:type <B> . };select distinct ?a, ?b where {  ?a rdf:type ?b .  };
dbo:Food;;;what is in a <A>?;select distinct ?uri where { <A> dbo:ingredient ?uri . };select distinct ?a where {  ?a dbo:ingredient ?uri .  };
dbo:Food;;;which ingredients do i need for <A>?;select distinct ?uri where { <A> dbo:ingredient ?uri . };select distinct ?a where {  ?a dbo:ingredient ?uri .  };
;;;who discovered <A>?;select distinct ?uri where { <A> dbo:discoverer ?uri . };select distinct ?a where {  ?a dbo:discoverer ?uri .  };
dbo:Person;;;who was the doctoral supervisor of <A>?;select distinct ?uri where { <A> dbo:doctoralAdvisor ?uri . };select distinct ?a where {  ?a dbo:doctoralAdvisor ?uri .  };
;;;give me the currency of <A>.;select distinct ?uri where { <A> dbo:currency ?uri . };select distinct ?a where {  ?a dbo:currency ?uri .  };
dbo:Country;;;how many ethnic groups live in <A>?;select (count(distinct ?uri) as ?c) where { <A> dbo:ethnicGroup ?uri . };select distinct ?a where {  ?a dbo:ethnicGroup ?uri .  };
dbo:Person;dbo:PoliticalParty;;is <A> a <B>?;ask where { <A> dbo:party <B> . };select distinct ?a, ?b where {  ?a dbo:party ?b .  };
;;;what are the government of <A>?;select distinct ?uri where { ?uri dbo:governmentType <A> . };select distinct ?a where {  ?uri dbo:governmentType ?a .  };
dbo:Country;;;what form of government does <A> have?;select distinct ?uri where { <A> dbo:governmentType ?uri . };select distinct ?a where {  ?a dbo:governmentType ?uri .  };
dbo:NaturalPlace;dbo:Country;;what is the highest <A> in <B>?;select distinct ?uri where { ?uri rdf:type <A> . ?uri dbo:locatedInArea <B> . ?uri dbo:elevation ?elevation . } order by desc(?elevation) limit 1;select distinct ?a, ?b where {  ?uri rdf:type ?a . ?uri dbo:locatedInArea ?b . ?uri dbo:elevation ?elevation .  };
dbo:Country;;;what is the official language of <A>?;select distinct ?uri where { <A> dbo:officialLanguage ?uri . };select distinct ?a where {  ?a dbo:officialLanguage ?uri .  };
dbo:Country;;;who is the king of <A>?;select distinct ?uri where { <A> dbo:leader ?uri . ?uri a dbo:Royalty . };select distinct ?a where {  ?a dbo:leader ?uri . ?uri a dbo:Royalty .  };
dbo:City;;;who is the leader of <A>?;select distinct ?uri where { <A> dbo:leaderName ?uri . };select distinct ?a where {  ?a dbo:leaderName ?uri .  };
dbo:City;;;who is the mayor of <A>?;select distinct ?uri where { <A> dbo:mayor ?uri . };select distinct ?a where {  ?a dbo:mayor ?uri .  };
dbo:Country;;;who is the mayor of the capital of <A>?;select distinct ?uri where { <A> dbo:capital ?x . ?x dbo:mayor ?uri . };select distinct ?a where {  ?a dbo:capital ?x . ?x dbo:mayor ?uri .  };
dbo:Country;;;who is the president of <A>?;select distinct ?uri where { <A> dbo:leader ?uri . <A> dbo:leaderTitle  'President'@en };select distinct ?a where {  ?a dbo:leader ?uri . ?a dbo:leaderTitle  'President'@en.  };
dbo:Person;;;who was <A>’s vice president?;select distinct ?uri where { <A> dbo:vicePresident ?uri . };select distinct ?a where {  ?a dbo:vicePresident ?uri .  };
;;;who was the <A> <B>?;select distinct ?uri where { ?uri dbo:office <B> . ?uri dbo:orderInOffice <A> . };select distinct ?a, ?b where {  ?uri dbo:office ?b . ?uri dbo:orderInOffice ?a .  };
dbo:Person;;;who was the successor of <A>?;select distinct ?uri where { <A> dbo:successor ?uri . };select distinct ?a where {  ?a dbo:successor ?uri .  };
dbo:Athlete;dbo:SportsTeam;;does <A> play for <B>?;ask where { <A> dbo:team <B> . };select distinct ?a, ?b where {  ?a dbo:team ?b .  };
dbo:Athlete;;;give me all professional <A> from <B>.;select distinct ?uri where { ?uri dbo:occupation <A> . { ?uri dbo:birthPlace <B> . } union { ?uri dbo:birthPlace ?place . ?place dbo:country <B> . } };select distinct ?a, ?b where {  ?uri dbo:occupation ?a . { ?uri dbo:birthPlace ?b .  } union { ?uri dbo:birthPlace ?place . ?place dbo:?b . } };
dbo:SportsTeam;;;how many seats does the home stadium of <A> have?;select distinct ?n where { <A> dbo:ground ?x . ?x dbo:seatingCapacity ?n . };select distinct ?a where {  ?a dbo:ground ?x . ?x dbo:seatingCapacity ?n .  };
dbo:Athlete;;;when did <A> end his active career?;select distinct ?d where { <A> dbo:activeYearsEndDate ?d . };select distinct ?a where {  ?a dbo:activeYearsEndDate ?d .  };
dbo:Athlete;;;which professional <A> were born in <B>?;select distinct ?uri where { ?uri dbo:occupation <A> . ?uri dbo:birthPlace <B> . };select distinct ?a, ?b where {  ?uri dbo:occupation ?a . ?uri dbo:birthPlace ?b .  };
dbo:Athlete;;;which professional <A> were born on the <B>?;select distinct ?uri where { ?uri dbo:occupation <A> . ?uri dbo:birthPlace <B> . };select distinct ?a, ?b where {  ?uri dbo:occupation ?a . ?uri dbo:birthPlace ?b .  };
dbo:RacingDriver;;;who is the <A> with the most races?;select distinct ?uri where { ?uri rdf:type <A> . ?uri dbo:races ?x . } order by desc(?x) offset 0 limit 1;select distinct ?a where {  ?uri rdf:type ?a . ?uri dbo:races ?x .  };
dbo:City;dbo:SportsLeague;;who is the coach of <A>’s <B> team?;select distinct ?uri where { ?x dbo:city <A> . ?x dbo:league <B> . ?x dbo:coach ?uri . };select distinct ?a, ?b where {  ?x dbo:city ?a . ?x dbo:league ?b . ?x dbo:coach ?uri .  };
dbo:Athlete;;;who is the tallest <A>?;select distinct ?uri where { ?uri rdf:type <A> . ?uri dbo:height ?num . } order by desc(?num) offset 0 limit 1;select distinct ?a where {  ?uri rdf:type ?a . ?uri dbo:height ?num .  };
dbo:Athlete;;;who is the youngest <A>?;select distinct ?uri where { ?uri rdf:type <A> . ?uri dbo:birthDate ?date . } order by desc(?date) offset 0 limit 1;select distinct ?a where {  ?uri rdf:type ?a . ?uri dbo:birthDate ?date .  };
dbo:SportsLeague;;;who is the youngest player in the <A>?;select distinct ?uri where { ?uri dbo:team ?x . ?x dbo:league <A> . ?uri dbo:birthDate ?y . } order by desc(?y) offset 0 limit 1;select distinct ?a where {  ?uri dbo:team ?x . ?x dbo:league ?a . ?uri dbo:birthDate ?y .  };
dbo:Mountain;;;who was the first to climb <A>?;select distinct ?uri where { <A> dbo:firstAscentPerson ?uri . };select distinct ?a where {  ?a dbo:firstAscentPerson ?uri .  };
dbo:SocietalEvent;dbo:SocietalEvent;;was the <A> earlier than the <B>?;ask where { <A> dbo:date ?x .<B> dbo:date ?y . filter (?x < ?y) };select distinct ?a, ?b where {  ?a dbo:date ?x .?b dbo:date ?y };
<http://dbpedia.org/class/yago/MilitaryAction100952963>;;;when did <A> commence?;select distinct ?d where { <A> dbo:date ?d . };select distinct ?a where {  ?a dbo:date ?d .  };
dbo:Work;;;when did <A> creator die?;select distinct ?date where { <A> dbo:creator ?x . ?x dbo:deathDate ?date . };select distinct ?a where {  ?a dbo:creator ?x . ?x dbo:deathDate ?date .  };
<http://dbpedia.org/class/yago/WikicatFormerEmpires>;;;when did the <A> dissolve?;select distinct ?date where { <A> dbo:dissolutionDate ?date . };select distinct ?a where {  ?a dbo:dissolutionDate ?date .  };
dbo:MeanOfTransportation;;;when was the <A> completed?;select distinct ?date where { <A> dbo:completionDate ?date . };select distinct ?a where {  ?a dbo:completionDate ?date .  };
dbo:SocietalEvent;;;when was the <A>?;select distinct ?date where { <A> dbo:date ?date . };select distinct ?a where {  ?a dbo:date ?date .  };
